Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
.,stirling.software.Stirling.Stats,PropSync,3.0,0.0,3.0,1.0,0.0,0.0
.,stirling.software.SPDF.config.security.database,DatabaseConfigTest,0.0,0.0,1.0,1.0,-0.0,0.0
.,stirling.software.SPDF.config.security.database,DatabaseConfig,8.0,6.0,3.0,1.0,0.8928571428571428,0.0
.,stirling.software.SPDF.config.security.database,ScheduledTasks,0.0,0.0,1.0,1.0,-0.0,0.0
.,stirling.software.SPDF.config.security.database,DatabaseService,88.0,71.0,7.0,1.0,0.8285714285714285,0.0
.,stirling.software.SPDF.config.security,CustomLogoutSuccessHandlerTest,0.0,0.0,1.0,1.0,0.0625,0.0
.,stirling.software.SPDF.config.security,UserAuthenticationFilter,8.0,6.0,3.0,3.0,0.85,0.6
.,stirling.software.SPDF.config.security,InitialSecuritySetup,0.0,0.0,1.0,1.0,0.41666666666666663,0.0
.,stirling.software.SPDF.config.security,UserService,660.0,374.0,15.0,1.0,0.8538205980066446,0.0
.,stirling.software.SPDF.config.security,FirstLoginFilter,0.0,0.0,1.0,1.0,-0.0,0.0
.,stirling.software.SPDF.config.security,IPRateLimitingFilter,3.0,3.0,3.0,3.0,1.0,1.0
.,stirling.software.SPDF.config.security,CustomAuthenticationSuccessHandler,0.0,0.0,1.0,1.0,-0.0,0.0
.,stirling.software.SPDF.config.security,UserBasedRateLimitingFilter,9.0,8.0,4.0,2.0,0.9166666666666667,0.4
.,stirling.software.SPDF.config.security,AppUpdateAuthService,0.0,0.0,1.0,1.0,-0.0,0.0
.,stirling.software.SPDF.config.security,CustomLogoutSuccessHandler,14.0,13.0,5.0,1.0,0.8,0.0
.,stirling.software.SPDF.config.security,LoginAttemptService,4.0,0.0,1.0,1.0,0.52,0.0
.,stirling.software.SPDF.config.security,CustomAuthenticationFailureHandler,2.0,1.0,2.0,1.0,0.5,0.0
.,stirling.software.SPDF.config.security,RateLimitResetScheduler,0.0,0.0,1.0,1.0,-0.0,0.0
.,stirling.software.SPDF.config.security,SecurityConfiguration,17.0,13.0,4.0,2.0,0.8205128205128206,0.2857142857142857
.,stirling.software.SPDF.config.security,CustomUserDetailsService,2.0,1.0,2.0,1.0,0.5,0.0
.,stirling.software.SPDF.utils,RequestUriUtilsTest,0.0,0.0,1.0,1.0,0.0,0.0
.,stirling.software.SPDF.utils,ErrorUtilsTest,1.0,0.0,2.0,2.0,0.0,1.0
.,stirling.software.SPDF.utils,FileToPdfTest,10.0,0.0,5.0,5.0,0.0,1.0
.,stirling.software.SPDF.utils,GeneralUtilsTest,276.0,0.0,24.0,24.0,0.0,1.0
.,stirling.software.SPDF.utils,UrlUtilsTest,0.0,0.0,1.0,1.0,0.0,0.0
.,stirling.software.SPDF.utils,PdfUtilsTest,1.0,0.0,2.0,2.0,0.0,1.0
.,stirling.software.SPDF.utils,PropertyConfigsTest,6.0,0.0,4.0,4.0,0.0,1.0
.,stirling.software.SPDF.utils,WebResponseUtilsTest,6.0,0.0,4.0,4.0,0.0,1.0
.,stirling.software.SPDF.utils,FileInfoTest,0.0,0.0,1.0,1.0,0.0,0.0
