Commit Hash,High Confidence,Medium Confidence,Low Confidence,High Severity,Medium Severity,Low Severity,Unique CWEs
9523006807f220be3ef3326fc62dea887b6425ec,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
5eb676ac9afd4a5d90cdda198d174c2c8d2da226,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
91d49e86321781deb6b5b4d293905d364dffaa6f,14244,10,8,8,128,14126,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
0b43f728b65a14a74a53bcf0a9692efc163993a3,14270,10,8,8,128,14152,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
a4225f305a88eea7bababbfa2ff479a118406c93,14244,10,8,8,128,14126,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
728b3fcd4127976444fd215b165292a7cd4331e2,14260,10,8,8,128,14142,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
f93ff1b44a7de4ad09f54b1b6984f0da99813fbe,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
6e7731f8f1d061aa2bc7853b16594e4e2c2e6102,14244,10,8,8,128,14126,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
0b5cd27ac5616d15e7be1261d18a0da67f4c3a45,14260,10,8,8,128,14142,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
f83a15b06cdf807a6c8e3863a257e2d7ea8dfbf9,14264,10,8,8,128,14146,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
29b3f85ea439b2a23730fb42ee4d72c1c3ed731b,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
4f29d4e304bb7f30bf5c401544410ae281be3c29,14244,10,8,8,128,14126,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
02eaa94d82655a94224984f6cc5230ef6b1534ad,14270,10,8,8,128,14152,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
e13e28022c3574250ab6c7c091742bbfc74c51b8,14260,10,8,8,128,14142,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
79e96eff2bf68a65c0644d2f66a9711982c6218e,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
601dfd130f5b6feea7878e13f6c1a5f81820fe41,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
7e861bcbfe577c0cfff250a7097985b69ca0877c,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
54f6046fc806644baac1d01990233b041590b882,14270,10,8,8,128,14152,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
ee4e1637cede6d6d3176233e8e6f134081d4a638,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
