Commit Hash,High Confidence,Medium Confidence,Low Confidence,High Severity,Medium Severity,Low Severity,Unique CWEs
ed1807bab372a524446d9293fd09e06d2b6e79ec,5430,1002,572,18,1284,5702,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
a1cf9f33908a60ba74366c575e0e6942b588be69,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
3bd1a0ddf12bb62293613323db18fbf579b1815b,4578,992,560,10,1164,4956,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
fbb18ce68ba552e88a0e1c6518b3f641380f3335,4574,992,560,10,1164,4952,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
c4161238bd8f67a2d80715de7d4ce45541955693,4574,992,560,10,1164,4952,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
bc3253f07678538188185f179cf332be702ce6d5,4574,992,560,10,1164,4952,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
89f6956015a42ab32b35de2a6055ea65b5ca53d4,4574,992,560,10,1164,4952,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
4d8259d24592f27603efc3827f60794904f14aad,5428,1000,572,18,1284,5698,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
482d17be60d1836a7e787c5c3d69d4c3ed171ebc,5428,1010,572,18,1284,5708,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
f2e197c30a8fcecfa5e88b5ec6173e460ddaddb8,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
9e385109cfaf9c2cbaf496260ba68c5b45aa6076,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
37508816d650a8074bc31c761e20872c2e5eaec4,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
d8663cb8c50322f351b73132cf8f02f14cf5aeea,5430,1002,572,18,1284,5702,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
bb965d8e870e0e642e0dca079bb91bd5e41e15a3,4574,992,560,10,1164,4952,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
2c5d038f9204ffbc78acd398238dd5231341e648,5428,1000,572,18,1284,5698,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
c1b24c0b73f11b14f5ad2c77f68ea8b7fa214cfb,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
6966fa190172b48b2fb46fe4552a13b943e692cf,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
3e83ee75ec7a5291c95a7172d90665eed450bfba,5428,1000,572,18,1284,5698,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
09a309d27364204eb118d352f22483bdd9652a46,4578,992,560,10,1164,4956,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
50d3530aa04e7a7d003e6b255a98f79fd0447357,4572,992,560,10,1164,4950,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
bc3d5781e72dc2b27ae39f290bcc7336f9839db7,4574,992,560,10,1164,4952,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
6aa9888463ece40e29ac9065127f578a24f50958,5428,1000,572,18,1284,5698,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
996f512d52908beb7b89d835fe7eb7b900f78ad0,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
dcbdf7e962c4b36140cc9ee76f870016121e69e5,5428,1000,572,18,1284,5698,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
cb384dcd7a3a9ea7e024eb1870a312cb70c959ac,4572,992,560,10,1164,4950,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
c7eb95581a8da3e41ae98decfeb98f7be4d10d82,4574,992,560,10,1164,4952,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
9e3a1072c25732d351a09218d8e8843148ecc3c9,5428,1000,572,18,1284,5698,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
1975be4d9757fc7b7abcf1e770596509ae9d6baa,5428,1000,572,18,1284,5698,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
84f0186e8971a21bcda9b446a8a74f0f1a958f1c,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
81aa9b2e07b359cd3555c118010fd9f26c601e54,4572,992,560,10,1164,4950,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
4fce7a0f0ff7976e9d4a496a7d9505054deb8820,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
acb8586dd9536f5cb78765d0a1cd6015da5af0c5,5428,1000,572,18,1284,5698,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
42ebb6c23e61119f769d7c7c067d5b4ae10e4a7f,4626,992,560,10,1164,5004,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
69bc848480d5f19a537a70ce14f09816b00cd80f,4578,992,560,10,1164,4956,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
02776d2c6aa997c5b81f28f2edf38df9967253be,5428,1010,572,18,1284,5708,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
5275ef6f3d4a1a78a25e958496cde48fd0257dc2,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
51083d1bac7905aa8316b75f7897bdd4e5302044,5428,1010,572,18,1284,5708,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
48292a9848fffc199c487c2b0b34f21c789acabb,4574,992,560,10,1164,4952,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
1e4286fd5962438d15af0257fa5feb9f2b2e58be,4572,992,560,10,1164,4950,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
af9b2eaa54c150741f298d6db939af6328e1dc38,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
72861e11ebe0b9d9123929b82708a1784ab1900e,4578,992,560,10,1164,4956,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
2aff938992b756a6670f196e589a9ae6aa446b26,5428,1000,572,18,1284,5698,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
222505c7e4d08da9095d12ddb72fb653f4b6da33,5428,1010,572,18,1284,5708,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
a40f1ac602fe900281722254c52ce3773f28eb0e,5428,1000,572,18,1284,5698,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
071a161d3e38f56dbda2743b979f0afeed2cd4f1,4574,992,560,10,1164,4952,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
9fe82793eecc511eb16b0422dd1527025bb71087,5428,1000,572,18,1284,5698,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
51ed61e2f05176f81fa7c9decba10cc28e138f61,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
87b30c35892568f9b83d4e8d1233956b8e0cd96c,4574,992,560,10,1164,4952,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
1c287aecfcf94f569eb8740be5be43bda6750682,4574,992,560,10,1164,4952,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
752ef3fd4e70869626ec70657a770a85c0ad9219,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
65b8e38aac2a2e798d5d7406a970a8f206815b1c,4574,992,560,10,1164,4952,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
28159aee63e344dd9d27d1ebb2f8d916388dfd3d,5428,1000,572,18,1284,5698,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
0463901c92e08cefbccf19f409b6cc43c153352d,5428,1000,572,18,1284,5698,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
cc3a361b46664d4d8486b578e3cf4c32def3c2a4,4574,992,560,10,1164,4952,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
2a004f9ff1a8f118318f0f82f64b74a2655d26d0,4578,992,560,10,1164,4956,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
7652804d237fb8768f0f0b8129a05e4f0576114b,4574,992,560,10,1164,4952,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
66f29aaaf55c8fe0c3dbcd24beede2ca4effac56,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
bc30dd1efb99f571d45b2e2131a555d09285ddd8,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
0013ba61e5e90c30835aaa946ce9e6c3e00a9070,4574,992,560,10,1164,4952,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
c0c5acff077ac7c8fe68a0fdbad24306dbd9d4e3,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
8cb522b4190bd556ce51be04942720650b1a3e57,4578,992,560,10,1164,4956,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
6f775970c7713d04d238a2e63a0a0ea4d5e87ba7,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
79254c9b61ac2e1a6e0f698c38b1654159095e2e,4574,992,560,10,1164,4952,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
e9756cdbc7dcec91ea0dde55c165d6276bd08252,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
8a16edce671e28a20f5469be66c7e097fb4fce33,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
fc8764c9a618add64c33e83720f974750bcd0978,4626,992,560,10,1164,5004,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
b1a51ea4642f120ed693a24671215aa3f9929dd5,5430,1002,572,18,1284,5702,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
94ae1ba5b55e79ba766582de8a199d8ccf24a021,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
691d1b52c33b0bda5187dc5afad8a30633003bb2,4626,992,560,10,1164,5004,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
d84569387fb1f88c86fb8d82a41f20c9e207d09e,4574,992,560,10,1164,4952,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
d126f354277f9e6a54d8f8ccecb687cffd6672e4,5430,1002,572,18,1284,5702,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
53742b11f51eb03277550dd5f1730c17c0870507,4578,992,560,10,1164,4956,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
c0f8d055ce7a218e041e20a06946bf0baa8a7d6a,5428,1000,572,18,1284,5698,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
f2fb41948e7850b20f9f0ab8cde3ec5bf79e3992,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
6f3e0b68e0030051d9181fb1f494e539adeb069c,4626,992,560,10,1164,5004,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
9e84b381356f5a4ade084ec718a5ce8dfcf04454,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
2829013d2d00e63d75a1f6f7a3f003bc60cc69af,4574,992,560,10,1164,4952,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
0440dbc0e1e311615c52bd8c903d41ad9156831a,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
2c2495cc7b0e3e2942a9310f61548f40a2bc8425,4626,992,560,10,1164,5004,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
