Commit Hash,High Confidence,Medium Confidence,Low Confidence,High Severity,Medium Severity,Low Severity,Unique CWEs
36801c62df733cfa4f74b607532e012900d8c77f,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
e39466051f01411944bd657fe826b658a0df5af1,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
e1b3fa242cb94eb9dc949ab3f2cace91c46f11bf,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
4416f82c809a81737d68875dcb201e366d58dabd,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
48ddab1f3a616d40480818ec9b73eaa27e3a55fa,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
71223bff39551a11b6959a3de2dd9e2f070f3c4f,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
4d05f84325070c3f6fe2ed6096138757675469a4,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
ab7c61ca29ed1d1216d463d01794eb112a9144d5,532,32,0,56,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
673277e510ebd996b62a2fcc76169bf3cce29910,532,32,0,56,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
32f89de92b652bf246aa458a552c9bb397abef77,532,32,0,56,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
eeafbbc3e59bcd6513053f5c942a55e2ff309488,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
1dc27e1c3bda9cb8f44b805c89918aa7d11ffcdc,532,32,0,56,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
fd8242e3efd3c0e2ba9a45c662d6983c00b21d6d,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
b4469a0f652c450a81901795a8f522ae5457a1cf,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
711e72c292327674c4a0593fdbb83d6347738ec9,532,32,0,56,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
f4b47754d9716dbe61372d75e85e965328335ec9,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
5975d7bb96095fae7c35e7cfcd819255a5b57087,532,32,0,56,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
ce1e556b8fde56eb84bec1580e9f07f45e721c4f,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
63fb0fc4159397618b12fa115f957b9ba70f3f88,532,32,0,56,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
40bd5c18153afe765caa6726302ee1dd8a9a2ce6,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
2eac0fa3799b3d027148341186a52fb5a6288473,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
88bd8b9f87f6f4956f11d32f3a7f23f20283357b,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
71211e7db7243377f862dfdea9a9c3a511df66c2,532,32,0,54,14,496,"[259, 327, 330, 78, 20, 732, 605, 703]"
d8f134a664d7be2c10aba44fc2d54a8f7b0542ff,528,32,0,54,14,492,"[259, 327, 330, 78, 20, 732, 605, 703]"
21792b88b791b16e3ab0a0fb2e26e5bb8a4e2ff3,528,32,0,54,14,492,"[259, 327, 330, 78, 20, 732, 605, 703]"
34484e49f5cd91a830f5459a5b673b7c05a22e24,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
451046d62a1b57cc473625c728ff89d7a66933c3,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
a96a45b2cdcfa5f20ae4264bed268cce93fbc521,532,32,0,54,14,496,"[259, 327, 330, 78, 20, 732, 605, 703]"
c5098961b04ce83f4615f2a846c84f803b072639,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
94fd7746084d87a43e34b094c5db1325f91ce053,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
d55d1f423d6473ae6a9e13462d94bad1d71d28e0,532,32,0,56,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
4ea59c6107d63bbabe1de74569ceb984b1646426,528,32,0,54,14,492,"[259, 327, 330, 78, 20, 732, 605, 703]"
422b1b31cf398d60b4606fa57be8e39c1181932f,532,32,0,56,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
70f230f9cf28e948662599b6257cb7d1262870e3,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
3c466186a86a22c3fc050f038c38b76ffa1a2dad,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
7216fa2ac4706e099ea2ad9a04fe7bf4300bc745,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
eb3866543810c7be96f40ec94e0c00df19b93861,528,32,0,54,14,492,"[259, 327, 330, 78, 20, 732, 605, 703]"
f66372403fd9e1661199fea100ba2600fa9697b2,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
f0812d784836d18fd25ea32f9b5a0c9c6e92425b,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
3bde6a5752591f824096469fb9617be9d470df2c,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
37cea84f775129ad715b9bcd617251c831fcc980,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
1fd8f802b836cc1e8bf87b2dbe02decd6a980cb6,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
b09442a2f4a8d255569abf0bb6b4867c53d0c2e9,532,32,0,56,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
ad01fa6ccadd1ecade8002e937492a141d3b8f25,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
aef24d97e9c50cd9db06349b2b25c7f623baf932,532,32,0,54,14,496,"[259, 327, 330, 78, 20, 732, 605, 703]"
a08f2b7e4567cdc50c0614ee0a4ffdff49b8b6e6,528,32,0,54,14,492,"[259, 327, 330, 78, 20, 732, 605, 703]"
55ad8a24cacee03a91fe70d8d48aa9a02cc0ab11,532,32,0,56,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
c1a03b1ac3a453508b358b6d1bc5d158cc80a0ce,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
1036478d130c5f2001eca2d7d12558abe601d933,532,32,0,56,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
31a15a7c8dfc618e5090948e6b44d27911383d4b,532,32,0,54,14,496,"[259, 327, 330, 78, 20, 732, 605, 703]"
118c6d7a17c61f1a1031e5530ca2854a526834d5,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
af049e309bfa47141a9788cd1730dd50dad6176d,532,32,0,56,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
d35ce6ce95aac9b98c5f8272824a82e4623b777a,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
00ad2b8ca12d4f9b830ed83876d0d1ab3d698675,532,32,0,56,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
756f6b45c7c9a77f0fa912f882afe7e04878a01b,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
cecaa18b80e33323193915ef9fbd2f68d94d7bce,532,32,0,56,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
f487b4a02a74bb143a7b8f7cb26819b5b661a40b,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
c2766cb80ee9add4d2d2d94b1878e7884c63ceaf,528,32,0,54,14,492,"[259, 327, 330, 78, 20, 732, 605, 703]"
8738407d77f6da843f8f5ded1ccad73172b4abac,532,32,0,56,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
974c7d7f349831cf32026ec57e75bc821843a07b,532,32,0,56,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
f7b30e3f73f56aa4765212cd04eb48743e03dfcd,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
a452f9437c8a3048f75fc12f75bcfd3eed78430f,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
81e64cacf2b8c144ec1e9d3258db792f0eb8443e,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
f28d7178e4afb58a94994796cd81c22183ca33c2,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
16f5bbc464602773e61eeafef51d1dbc47987bb4,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
46521096433aceaa41b4caa845bed22ca6f377ce,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
7687389f08a5c7c49e57d1b7f7b11b1c87b47b68,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
b4ff08bd2d12b6c91f4d8c83a7820fc6db31033d,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
a48fe7491df1ef9c1d10689e852f0e8e5f48253c,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
43a74c5fa5e43ee563b1488634585cb0bf02ea24,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
94849bc997d232b344b0f3666198feec7b004b43,532,32,0,56,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
d95c0d203fa74c806a806806f7c5286ca532b936,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
60835ca16c052eb00bb9bccd44f8843edac66a2e,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
acc383b9e3c2d454121c22570c901dd2c689dc26,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
5dee6213edddb5ea00775db6b3b73f8355144485,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
bdda6b81df61f52eed2502c8ae624d297d918488,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
768ccccd9b18bc48d129b12d14eace4ebb3655d8,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
21924742f79ccbd62d16ef4120518c6a5da8614e,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
50f6c5668ac28a435a5c09e3d5ee7c13a50999f3,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
420d53387cff54ea1fccca061438d59bdb50a39c,532,32,0,56,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
176fc2cb003b7a74f5781a64a4e1ce32e740c149,532,32,0,56,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
182f63e82a390e138f4a133d3ccb9c838222b02d,532,32,0,54,14,496,"[259, 327, 330, 78, 20, 732, 605, 703]"
283dca56feb9f23978733810ab155472d6473c38,532,32,0,56,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
26b6f15d14e30dc3349abe2933edb051b46be4b8,532,32,0,56,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
cd7c7b5edbf020730f106aabaa15ca1a7de22e44,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
0b2ce3685e02ea1a3ccee1026572e081b8f6ac83,528,32,0,54,14,492,"[259, 327, 330, 78, 20, 732, 605, 703]"
e0727e4ab61b6e45f7792546b8b5ff52a0ea22b5,528,32,0,54,14,492,"[259, 327, 330, 78, 20, 732, 605, 703]"
eed784e15f6066b152a3cce8db6fe3f059290b22,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
21fff051217d1c14a7d50fa752052eadbcafee4e,532,32,0,56,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
820fae3b3a8587a6f57afbe803b4f91de7d4e086,532,32,0,54,14,496,"[259, 327, 330, 78, 20, 732, 605, 703]"
e20ca543f037bd3a8e38507b870ed3a3de3c32e7,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
eee9a247eb3ef876ce6d9f5e34275e46a2d06d10,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
0153b387e57e0bb8e580f1869f85596d2767fb0d,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
19dc10b986eeda47975a0e77e84df20ad3b59062,532,32,0,54,14,496,"[259, 327, 330, 78, 20, 732, 605, 703]"
668332b9733023ca2e927eeb2208725022248af8,528,32,0,54,14,492,"[259, 327, 330, 78, 20, 732, 605, 703]"
dbc08fba83a0e6c5215e8cec97eb4076f85eee5f,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
06da64ee51cd405b9392ba484cf7d3d31a88ee30,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
91b1569f68471d685382b738806b2e07d8f52707,532,32,0,56,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
e0094e63c3bce919841b6e3634c877fcef8772a1,530,32,0,54,14,494,"[259, 327, 330, 78, 20, 732, 605, 703]"
