Before Bug fix,After Bug fix,Location,Bug type,Commit Message,Project URL,File Path,Fixed Commit,Buggy Commit,Test File,Coding Effort,Constructs,Lizard Features Buggy,Lizard Features Fixed,BLEU,crystalBLEU_score,BERT_score,LLM_Label
"2 WIP
3 
4 Yes, we do write tests for our tests.
5 """"""
6 import unittest
7 import pathlib
8 
9 from tests import *
10 from scripts import get_answered_questions
11 
","2 WIP
3 
4 Yes, we do write tests for our tests.
5 """"""
6 import unittest
7 # import pathlib
8 
9 # from tests import *
10 # from scripts import get_answered_questions
11 
","Before: 7
After: 7",fix syntax checker tests,PEP8 fixes,https://github.com/bregman-arie/devops-exercises,tests/syntax_checker_unittest.py,73665e6d52d7ec0e1e662bd0801857907783810f,68e278fe15b3d08b056c4900ffdd17a0851ad267,0,15,"{'module': 1, 'expression_statement': 2, 'identifier': 13, ',': 1, 'ERROR': 2, 'for': 1, '.': 1, 'string_start': 1, 'import_statement': 2, 'import': 4, 'dotted_name': 5, 'import_from_statement': 2, 'from': 2, 'wildcard_import': 1, '*': 1}","{'cyclomatic_complexity': 2, 'nloc': 5, 'token_count': 45, 'name': 'open_test_case_file', 'long_name': 'open_test_case_file( n : int )', 'start_line': 13, 'end_line': 18, 'full_parameters': ['n : int'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/devops-exercises/prev/tests/syntax_checker_unittest.py', 'top_nesting_level': 0, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}","{'cyclomatic_complexity': 1, 'nloc': 2, 'token_count': 8, 'name': 'open_test_case_file', 'long_name': 'open_test_case_file( n : int )', 'start_line': 13, 'end_line': 14, 'full_parameters': ['n : int'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/devops-exercises/curr/tests/syntax_checker_unittest.py', 'top_nesting_level': 0, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}",0.7913476753403808,0.8073425786941183,"(tensor([0.9876]), tensor([0.9882]), tensor([0.9879]), tensor([0.9881]))",
"4 Yes, we do write tests for our tests.
5 """"""
6 import unittest
7 import pathlib
8 
9 from tests import *
10 from scripts import get_answered_questions
11 
12 
13 def open_test_case_file(n: int):
","4 Yes, we do write tests for our tests.
5 """"""
6 import unittest
7 # import pathlib
8 
9 # from tests import *
10 # from scripts import get_answered_questions
11 
12 
13 def open_test_case_file(n: int):
","Before: 9, 10
After: 9, 10",fix syntax checker tests,PEP8 fixes,https://github.com/bregman-arie/devops-exercises,tests/syntax_checker_unittest.py,73665e6d52d7ec0e1e662bd0801857907783810f,68e278fe15b3d08b056c4900ffdd17a0851ad267,0,22,"{'module': 1, 'expression_statement': 1, 'identifier': 12, ',': 1, 'ERROR': 2, 'for': 1, '.': 1, 'string_start': 1, 'import_statement': 2, 'import': 4, 'dotted_name': 5, 'import_from_statement': 2, 'from': 2, 'wildcard_import': 1, '*': 1}","{'cyclomatic_complexity': 2, 'nloc': 5, 'token_count': 45, 'name': 'open_test_case_file', 'long_name': 'open_test_case_file( n : int )', 'start_line': 13, 'end_line': 18, 'full_parameters': ['n : int'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/devops-exercises/prev/tests/syntax_checker_unittest.py', 'top_nesting_level': 0, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}","{'cyclomatic_complexity': 1, 'nloc': 2, 'token_count': 8, 'name': 'open_test_case_file', 'long_name': 'open_test_case_file( n : int )', 'start_line': 13, 'end_line': 14, 'full_parameters': ['n : int'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/devops-exercises/curr/tests/syntax_checker_unittest.py', 'top_nesting_level': 0, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}",0.8255964765419495,0.8396343060987558,"(tensor([0.9851]), tensor([0.9858]), tensor([0.9854]), tensor([0.9858]))",
"10 from scripts import get_answered_questions
11 
12 
13 def open_test_case_file(n: int):
14     p = pathlib.Path(rf'D:\PycharmProjects\devops-interview-questions\scripts\tests\testcase{n}.md')
15 
16     with open(p, 'rb') as f:
17         file_list = [line.rstrip() for line in f.readlines()]
18     return file_list
19 
20 
","10 # from scripts import get_answered_questions
11 
12 
13 def open_test_case_file(n: int):
14     pass
15     # p = pathlib.Path(
16     #    rf'D:\PycharmProjects\devops-interview-questions\scripts\tests\' + '
17     # testcase{n}.md')
18 
19     # with open(p, 'rb') as f:
20     #    file_list = [line.rstrip() for line in f.readlines()]
21     # return file_list
22 
23 
","Before: 14
After: 14, 15, 16, 17",fix syntax checker tests,PEP8 fixes,https://github.com/bregman-arie/devops-exercises,tests/syntax_checker_unittest.py,73665e6d52d7ec0e1e662bd0801857907783810f,68e278fe15b3d08b056c4900ffdd17a0851ad267,0,63,"{'module': 1, 'import_from_statement': 1, 'from': 1, 'dotted_name': 2, 'identifier': 19, 'import': 1, 'function_definition': 1, 'def': 1, 'parameters': 1, '(': 5, 'typed_parameter': 1, ':': 3, 'type': 1, ')': 5, 'block': 2, 'expression_statement': 2, 'assignment': 2, '=': 2, 'call': 4, 'attribute': 3, '.': 3, 'argument_list': 4, 'string': 2, 'string_start': 2, 'string_content': 3, 'interpolation': 1, '{': 1, '}': 1, 'string_end': 2, 'with_statement': 1, 'with': 1, 'with_clause': 1, 'with_item': 1, 'as_pattern': 1, ',': 1, 'as': 1, 'as_pattern_target': 1, 'list_comprehension': 1, '[': 1, 'for_in_clause': 1, 'for': 1, 'in': 1, ']': 1, 'return_statement': 1, 'return': 1}","{'cyclomatic_complexity': 2, 'nloc': 5, 'token_count': 45, 'name': 'open_test_case_file', 'long_name': 'open_test_case_file( n : int )', 'start_line': 13, 'end_line': 18, 'full_parameters': ['n : int'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/devops-exercises/prev/tests/syntax_checker_unittest.py', 'top_nesting_level': 0, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}","{'cyclomatic_complexity': 1, 'nloc': 2, 'token_count': 8, 'name': 'open_test_case_file', 'long_name': 'open_test_case_file( n : int )', 'start_line': 13, 'end_line': 14, 'full_parameters': ['n : int'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/devops-exercises/curr/tests/syntax_checker_unittest.py', 'top_nesting_level': 0, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}",0.5943005895784118,0.6009124113945333,"(tensor([0.9522]), tensor([0.9706]), tensor([0.9613]), tensor([0.9687]))",DEV
"10 from scripts import get_answered_questions
11 
12 
13 def open_test_case_file(n: int):
14     p = pathlib.Path(rf'D:\PycharmProjects\devops-interview-questions\scripts\tests\testcase{n}.md')
15 
16     with open(p, 'rb') as f:
17         file_list = [line.rstrip() for line in f.readlines()]
18     return file_list
19 
20 
","10 # from scripts import get_answered_questions
11 
12 
13 def open_test_case_file(n: int):
14     pass
15     # p = pathlib.Path(
16     #    rf'D:\PycharmProjects\devops-interview-questions\scripts\tests\' + '
17     # testcase{n}.md')
18 
19     # with open(p, 'rb') as f:
20     #    file_list = [line.rstrip() for line in f.readlines()]
21     # return file_list
22 
23 
","Before: 16, 17, 18
After: 19, 20, 21",fix syntax checker tests,PEP8 fixes,https://github.com/bregman-arie/devops-exercises,tests/syntax_checker_unittest.py,73665e6d52d7ec0e1e662bd0801857907783810f,68e278fe15b3d08b056c4900ffdd17a0851ad267,0,84,"{'module': 1, 'import_from_statement': 1, 'from': 1, 'dotted_name': 2, 'identifier': 19, 'import': 1, 'function_definition': 1, 'def': 1, 'parameters': 1, '(': 5, 'typed_parameter': 1, ':': 3, 'type': 1, ')': 5, 'block': 2, 'expression_statement': 2, 'assignment': 2, '=': 2, 'call': 4, 'attribute': 3, '.': 3, 'argument_list': 4, 'string': 2, 'string_start': 2, 'string_content': 3, 'interpolation': 1, '{': 1, '}': 1, 'string_end': 2, 'with_statement': 1, 'with': 1, 'with_clause': 1, 'with_item': 1, 'as_pattern': 1, ',': 1, 'as': 1, 'as_pattern_target': 1, 'list_comprehension': 1, '[': 1, 'for_in_clause': 1, 'for': 1, 'in': 1, ']': 1, 'return_statement': 1, 'return': 1}","{'cyclomatic_complexity': 2, 'nloc': 5, 'token_count': 45, 'name': 'open_test_case_file', 'long_name': 'open_test_case_file( n : int )', 'start_line': 13, 'end_line': 18, 'full_parameters': ['n : int'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/devops-exercises/prev/tests/syntax_checker_unittest.py', 'top_nesting_level': 0, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}","{'cyclomatic_complexity': 1, 'nloc': 2, 'token_count': 8, 'name': 'open_test_case_file', 'long_name': 'open_test_case_file( n : int )', 'start_line': 13, 'end_line': 14, 'full_parameters': ['n : int'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/devops-exercises/curr/tests/syntax_checker_unittest.py', 'top_nesting_level': 0, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}",0.5943005895784118,0.6009124113945333,"(tensor([0.9522]), tensor([0.9706]), tensor([0.9613]), tensor([0.9687]))",
"23 
24     )
25 
26     def test_count_case_1(self):
27         raw_list = open_test_case_file(1)
28         question_list = get_question_list(raw_list)
29         answers = get_answered_questions.n_answers(question_list)
30 
31         self.assertEqual(len(question_list), 21)
32         self.assertEqual(answers, 2)
33 
34     def test_count_case_2(self):
","26 
27     )
28 
29     def test_count_case_1(self):
30         pass
31         # raw_list = open_test_case_file(1)
32         # question_list = get_question_list(raw_list)
33         # answers = get_answered_questions.n_answers(question_list)
34 
35         # self.assertEqual(len(question_list), 21)
36         # self.assertEqual(answers, 2)
37 
38     def test_count_case_2(self):
","Before: 27, 28, 29
After: 30, 31, 32, 33",fix syntax checker tests,PEP8 fixes,https://github.com/bregman-arie/devops-exercises,tests/syntax_checker_unittest.py,73665e6d52d7ec0e1e662bd0801857907783810f,68e278fe15b3d08b056c4900ffdd17a0851ad267,0,152,"{'module': 1, 'ERROR': 1, ')': 8, 'function_definition': 1, 'def': 1, 'identifier': 18, 'parameters': 1, '(': 7, ':': 1, 'block': 1, 'expression_statement': 5, 'assignment': 3, '=': 3, 'call': 6, 'argument_list': 6, 'integer': 3, 'attribute': 3, '.': 3, ',': 2}","{'cyclomatic_complexity': 2, 'nloc': 5, 'token_count': 45, 'name': 'open_test_case_file', 'long_name': 'open_test_case_file( n : int )', 'start_line': 13, 'end_line': 18, 'full_parameters': ['n : int'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/devops-exercises/prev/tests/syntax_checker_unittest.py', 'top_nesting_level': 0, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}","{'cyclomatic_complexity': 1, 'nloc': 2, 'token_count': 8, 'name': 'open_test_case_file', 'long_name': 'open_test_case_file( n : int )', 'start_line': 13, 'end_line': 14, 'full_parameters': ['n : int'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/devops-exercises/curr/tests/syntax_checker_unittest.py', 'top_nesting_level': 0, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}",0.5668569530462911,0.56153376307089,"(tensor([0.9583]), tensor([0.9666]), tensor([0.9624]), tensor([0.9658]))",
"23 
24     )
25 
26     def test_count_case_1(self):
27         raw_list = open_test_case_file(1)
28         question_list = get_question_list(raw_list)
29         answers = get_answered_questions.n_answers(question_list)
30 
31         self.assertEqual(len(question_list), 21)
32         self.assertEqual(answers, 2)
33 
34     def test_count_case_2(self):
","26 
27     )
28 
29     def test_count_case_1(self):
30         pass
31         # raw_list = open_test_case_file(1)
32         # question_list = get_question_list(raw_list)
33         # answers = get_answered_questions.n_answers(question_list)
34 
35         # self.assertEqual(len(question_list), 21)
36         # self.assertEqual(answers, 2)
37 
38     def test_count_case_2(self):
","Before: 31, 32
After: 35, 36",fix syntax checker tests,PEP8 fixes,https://github.com/bregman-arie/devops-exercises,tests/syntax_checker_unittest.py,73665e6d52d7ec0e1e662bd0801857907783810f,68e278fe15b3d08b056c4900ffdd17a0851ad267,0,192,"{'module': 1, 'ERROR': 1, ')': 8, 'function_definition': 1, 'def': 1, 'identifier': 18, 'parameters': 1, '(': 7, ':': 1, 'block': 1, 'expression_statement': 5, 'assignment': 3, '=': 3, 'call': 6, 'argument_list': 6, 'integer': 3, 'attribute': 3, '.': 3, ',': 2}","{'cyclomatic_complexity': 2, 'nloc': 5, 'token_count': 45, 'name': 'open_test_case_file', 'long_name': 'open_test_case_file( n : int )', 'start_line': 13, 'end_line': 18, 'full_parameters': ['n : int'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/devops-exercises/prev/tests/syntax_checker_unittest.py', 'top_nesting_level': 0, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}","{'cyclomatic_complexity': 1, 'nloc': 2, 'token_count': 8, 'name': 'open_test_case_file', 'long_name': 'open_test_case_file( n : int )', 'start_line': 13, 'end_line': 14, 'full_parameters': ['n : int'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/devops-exercises/curr/tests/syntax_checker_unittest.py', 'top_nesting_level': 0, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}",0.5668569530462911,0.56153376307089,"(tensor([0.9583]), tensor([0.9666]), tensor([0.9624]), tensor([0.9658]))",DEV
"72     if with_answer:
73         return choice(get_answered_questions(question_list))
74     return choice(question_list)
75 
76 
77 """"""Use this question_list. Unless you have already opened/worked/need the file, then don't or 
78 you will end up doing the same thing twice.
79 
80 eg: 
81 
","72     if with_answer:
73         return choice(get_answered_questions(question_list))
74     return choice(question_list)
75 
76 
77 """"""Use this question_list. Unless you have already opened/worked/need the file, then don't or
78 you will end up doing the same thing twice.
79 
80 eg:
81 
","Before: 77
After: 77",fix typo in question_utils.py,fix trailing space,https://github.com/bregman-arie/devops-exercises,scripts/question_utils.py,d4cd1e2dd228b04c568fc68ea00fd108321136ee,abbb951589ecd3addbc2c505bb7fb8f773b17274,0,544,"{'module': 1, 'if_statement': 1, 'if': 1, 'identifier': 31, ':': 2, 'block': 1, 'return_statement': 2, 'return': 2, 'call': 3, 'argument_list': 3, '(': 3, ')': 3, 'ERROR': 4, 'string_start': 2, 'attribute': 2, '.': 2, 'expression_statement': 1, 'binary_operator': 2, '/': 2, ',': 1, 'boolean_operator': 1, 'or': 1}","{'cyclomatic_complexity': 2, 'nloc': 4, 'token_count': 33, 'name': 'get_file_list', 'long_name': 'get_file_list( )', 'start_line': 12, 'end_line': 15, 'full_parameters': [], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/devops-exercises/prev/scripts/question_utils.py', 'top_nesting_level': 0, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}","{'cyclomatic_complexity': 2, 'nloc': 4, 'token_count': 33, 'name': 'get_file_list', 'long_name': 'get_file_list( )', 'start_line': 12, 'end_line': 15, 'full_parameters': [], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/devops-exercises/curr/scripts/question_utils.py', 'top_nesting_level': 0, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}",1.0,1.0,"(tensor([0.9986]), tensor([0.9986]), tensor([0.9986]), tensor([0.9986]))",DEV
"75 
76 
77 """"""Use this question_list. Unless you have already opened/worked/need the file, then don't or 
78 you will end up doing the same thing twice.
79 
80 eg: 
81 
82 #my_dir/main.py
83 
84 from scripts import question_utils
","75 
76 
77 """"""Use this question_list. Unless you have already opened/worked/need the file, then don't or
78 you will end up doing the same thing twice.
79 
80 eg:
81 
82 #my_dir/main.py
83 
84 from scripts import question_utils
","Before: 80
After: 80",fix typo in question_utils.py,fix trailing space,https://github.com/bregman-arie/devops-exercises,scripts/question_utils.py,d4cd1e2dd228b04c568fc68ea00fd108321136ee,abbb951589ecd3addbc2c505bb7fb8f773b17274,0,560,"{'module': 1, 'ERROR': 4, 'string_start': 2, 'identifier': 25, 'attribute': 2, '.': 2, 'expression_statement': 1, 'binary_operator': 2, '/': 2, ',': 1, 'boolean_operator': 1, 'or': 1, ':': 1, 'comment': 1}","{'cyclomatic_complexity': 2, 'nloc': 4, 'token_count': 33, 'name': 'get_file_list', 'long_name': 'get_file_list( )', 'start_line': 12, 'end_line': 15, 'full_parameters': [], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/devops-exercises/prev/scripts/question_utils.py', 'top_nesting_level': 0, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}","{'cyclomatic_complexity': 2, 'nloc': 4, 'token_count': 33, 'name': 'get_file_list', 'long_name': 'get_file_list( )', 'start_line': 12, 'end_line': 15, 'full_parameters': [], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/devops-exercises/curr/scripts/question_utils.py', 'top_nesting_level': 0, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}",1.0,1.0,"(tensor([0.9976]), tensor([0.9976]), tensor([0.9976]), tensor([0.9976]))",
"14 
15 class QuestionCount(unittest.TestCase):
16 
17     def test_case_1(self):
18         raw_list = open_test_case_file(1)
19         question_list = get_question_list(raw_list)
20         answers = get_answered_questions(question_list)
21 
22         self.assertEqual(len(question_list), 11)
23         self.assertEqual(answers, 3)
24 
25     def test_case_2(self):
","14 
15 class QuestionCount(unittest.TestCase):
16 
17     def test_case_1(self):
18         raw_list = open_test_case_file(1)
19         question_list = get_question_list(raw_list)
20         answers = get_answered_questions(question_list)
21 
22         self.assertEqual(len(question_list), 11)
23         self.assertEqual(len(answers), 3)
24 
25     def test_case_2(self):
","Before: 23
After: 23",fix typo in tests/scripts_question_utils_unittest.py,Fix unittest,https://github.com/bregman-arie/devops-exercises,tests/scripts_question_utils_unittest.py,a64decee570c4927f77acc2c2bcd45f7310970f7,cc848b135db53031a9250f3d56a4fd6bf5a3189a,0,217,"{'module': 1, 'class_definition': 1, 'class': 1, 'identifier': 20, 'argument_list': 7, '(': 8, 'attribute': 3, '.': 3, ')': 8, ':': 2, 'block': 2, 'function_definition': 1, 'def': 1, 'parameters': 1, 'expression_statement': 5, 'assignment': 3, '=': 3, 'call': 6, 'integer': 3, ',': 2}","{'cyclomatic_complexity': 2, 'nloc': 5, 'token_count': 54, 'name': 'open_test_case_file', 'long_name': 'open_test_case_file( n : int )', 'start_line': 7, 'end_line': 12, 'full_parameters': ['n : int'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/devops-exercises/prev/tests/scripts_question_utils_unittest.py', 'top_nesting_level': 0, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}","{'cyclomatic_complexity': 2, 'nloc': 5, 'token_count': 54, 'name': 'open_test_case_file', 'long_name': 'open_test_case_file( n : int )', 'start_line': 7, 'end_line': 12, 'full_parameters': ['n : int'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/devops-exercises/curr/tests/scripts_question_utils_unittest.py', 'top_nesting_level': 0, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}",0.9216735987662608,0.92357668013966,"(tensor([0.9956]), tensor([0.9968]), tensor([0.9962]), tensor([0.9967]))",
"22         self.assertEqual(len(question_list), 11)
23         self.assertEqual(answers, 3)
24 
25     def test_case_2(self):
26         raw_list = open_test_case_file(2)
27         question_list = get_question_list(raw_list)
28         answers = get_answered_questions(question_list)
29 
30         self.assertEqual(len(question_list), 16)
31         self.assertEqual(answers, 11)
","22         self.assertEqual(len(question_list), 11)
23         self.assertEqual(len(answers), 3)
24 
25     def test_case_2(self):
26         raw_list = open_test_case_file(2)
27         question_list = get_question_list(raw_list)
28         answers = get_answered_questions(question_list)
29 
30         self.assertEqual(len(question_list), 16)
31         self.assertEqual(len(answers), 11)
","Before: 31
After: 31",fix typo in tests/scripts_question_utils_unittest.py,Fix unittest,https://github.com/bregman-arie/devops-exercises,tests/scripts_question_utils_unittest.py,a64decee570c4927f77acc2c2bcd45f7310970f7,cc848b135db53031a9250f3d56a4fd6bf5a3189a,0,285,"{'module': 1, 'expression_statement': 6, 'call': 8, 'attribute': 3, 'identifier': 21, '.': 3, 'argument_list': 8, '(': 9, ')': 9, ',': 3, 'integer': 4, 'function_definition': 1, 'def': 1, 'parameters': 1, ':': 1, 'block': 1, 'assignment': 3, '=': 3}","{'cyclomatic_complexity': 2, 'nloc': 5, 'token_count': 54, 'name': 'open_test_case_file', 'long_name': 'open_test_case_file( n : int )', 'start_line': 7, 'end_line': 12, 'full_parameters': ['n : int'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/devops-exercises/prev/tests/scripts_question_utils_unittest.py', 'top_nesting_level': 0, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}","{'cyclomatic_complexity': 2, 'nloc': 5, 'token_count': 54, 'name': 'open_test_case_file', 'long_name': 'open_test_case_file( n : int )', 'start_line': 7, 'end_line': 12, 'full_parameters': ['n : int'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/devops-exercises/curr/tests/scripts_question_utils_unittest.py', 'top_nesting_level': 0, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}",0.851845267255703,0.8754437749638887,"(tensor([0.9902]), tensor([0.9925]), tensor([0.9914]), tensor([0.9923]))",
